intent,utterance
fertilizer_advice,"Fertilizer recommendation for Castor given N=75, P=45, K=60"
irrigation_advice,How often should I irrigate Gram?
fertilizer_advice,When to apply phosphorus for Groundnut?
fertilizer_advice,When to apply phosphorus for Sweet_Potato?
pest_disease_help,Symptoms of common diseases in Brinjal
pest_disease_help,How to treat fungal infection in Cumin?
irrigation_advice,How much water does Fennel need per week?
irrigation_advice,How often should I irrigate Tur_Arhar?
pest_disease_help,Symptoms of common diseases in Sweet_Potato
planting_schedule,Planting and harvesting months for Wheat
pest_disease_help,Best pesticide practice for Tomato
planting_schedule,Planting and harvesting months for Coriander
fertilizer_advice,"Fertilizer recommendation for Cassava given N=60, P=30, K=90"
irrigation_advice,How much water does Cotton need per week?
recommend_crop,Which crop suits my soil with pH 7.5 and rainfall 250mm?
pest_disease_help,Symptoms of common diseases in Barley
planting_schedule,Optimal planting time for Coffee
pest_disease_help,My Green_Peas leaves are yellow — what could be wrong?
pest_disease_help,My Oats leaves are yellow — what could be wrong?
pest_disease_help,How to manage pests in Niger fields?
planting_schedule,Planting and harvesting months for Barley
fertilizer_advice,When to apply phosphorus for Sesamum?
irrigation_advice,Water requirement for Cumin with rainfall 250mm
irrigation_advice,How often should I irrigate Coriander?
irrigation_advice,How often should I irrigate Arecanut?
pest_disease_help,Best pesticide practice for Rice
recommend_crop,Best crop for temperature 27C and humidity 65%
fertilizer_advice,When to apply phosphorus for Turmeric?
recommend_crop,Which crop suits my soil with pH 6.2 and rainfall 600mm?
planting_schedule,When does Okra mature after planting?
recommend_crop,Best crop for temperature 30C and humidity 90%
irrigation_advice,Irrigation schedule for Wheat in Rabi season
irrigation_advice,How often should I irrigate Jute?
irrigation_advice,Best irrigation practice for Rice
fertilizer_advice,"Fertilizer recommendation for Cauliflower given N=150, P=90, K=120"
recommend_crop,Suggest a crop for low nitrogen soils (N=45 kg/ha)
fertilizer_advice,Suggest fertilizer amounts for Oats
fertilizer_advice,Suggest fertilizer amounts for Cabbage
fertilizer_advice,"Fertilizer recommendation for Tea given N=225, P=60, K=150"
fertilizer_advice,"Fertilizer recommendation for Tobacco given N=115, P=60, K=115"
planting_schedule,Optimal planting time for Cabbage
planting_schedule,Optimal planting time for Ginger
irrigation_advice,Best irrigation practice for Linseed
recommend_crop,Suggest a crop for low nitrogen soils (N=75 kg/ha)
irrigation_advice,Water requirement for Coriander with rainfall 300mm
planting_schedule,When should I plant Jute in my region?
fertilizer_advice,Suggest fertilizer amounts for Tur_Arhar
recommend_crop,Which crop suits my soil with pH 6.8 and rainfall 400mm?
recommend_crop,Best crop for temperature 24C and humidity 70%
irrigation_advice,How much water does Maize need per week?
irrigation_advice,How much water does Cotton need per week?
irrigation_advice,Water requirement for Linseed with rainfall 250mm
recommend_crop,Which crop suits my soil with pH 6.5 and rainfall 500mm?
fertilizer_advice,When to apply phosphorus for Gram?
fertilizer_advice,How much nitrogen should I apply for Linseed?
irrigation_advice,How much water does Ragi need per week?
recommend_crop,Best crop for temperature 24C and humidity 70%
irrigation_advice,How often should I irrigate Coriander?
recommend_crop,Best crop for temperature 18C and humidity 60%
pest_disease_help,Best pesticide practice for Niger
irrigation_advice,Best irrigation practice for Ginger
fertilizer_advice,When to apply phosphorus for Brinjal?
recommend_crop,Best crop for temperature 25C and humidity 70%
recommend_crop,What crop should I grow if my soil pH is 6.8 and rainfall 400mm?
planting_schedule,When should I plant Tobacco in my region?
irrigation_advice,Best irrigation practice for Tomato
recommend_crop,Best crop for temperature 25C and humidity 70%
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 600mm?
irrigation_advice,Best irrigation practice for Okra
pest_disease_help,My Potato leaves are yellow — what could be wrong?
fertilizer_advice,"Fertilizer recommendation for Tur_Arhar given N=35, P=60, K=40"
irrigation_advice,How often should I irrigate Maize?
planting_schedule,When should I plant Coffee in my region?
recommend_crop,What crop should I grow if my soil pH is 6.5 and rainfall 500mm?
recommend_crop,Suggest a crop for low nitrogen soils (N=60 kg/ha)
planting_schedule,Optimal planting time for Safflower
irrigation_advice,Best irrigation practice for Gram
planting_schedule,When does Onion mature after planting?
pest_disease_help,Best pesticide practice for Sweet_Potato
recommend_crop,Recommend a crop for pH 7.5 and temperature 30C
pest_disease_help,How to manage pests in Oats fields?
pest_disease_help,Best pesticide practice for Sugarcane
planting_schedule,Optimal planting time for Cumin
fertilizer_advice,Suggest fertilizer amounts for Tea
fertilizer_advice,How much nitrogen should I apply for Potato?
recommend_crop,Suggest a crop for low nitrogen soils (N=45 kg/ha)
fertilizer_advice,What fertilizer schedule is best for Tomato?
recommend_crop,Recommend a crop for pH 7.0 and temperature 25C
planting_schedule,When does Gram mature after planting?
pest_disease_help,My Rapeseed_Mustard leaves are yellow — what could be wrong?
fertilizer_advice,When to apply phosphorus for Coconut?
irrigation_advice,How often should I irrigate Rapeseed_Mustard?
pest_disease_help,Best pesticide practice for Coffee
pest_disease_help,Symptoms of common diseases in Cassava
fertilizer_advice,How much nitrogen should I apply for Jute?
planting_schedule,When does Tur_Arhar mature after planting?
recommend_crop,Best crop for temperature 20C and humidity 80%
fertilizer_advice,Suggest fertilizer amounts for Sugarcane
planting_schedule,When should I plant Tomato in my region?
recommend_crop,Best crop for temperature 18C and humidity 65%
recommend_crop,Best crop for temperature 20C and humidity 80%
recommend_crop,Which crop suits my soil with pH 5.8 and rainfall 1000mm?
pest_disease_help,My Cotton leaves are yellow — what could be wrong?
irrigation_advice,How much water does Green_Peas need per week?
planting_schedule,When should I plant Sweet_Potato in my region?
planting_schedule,Planting and harvesting months for Turmeric
planting_schedule,When does Brinjal mature after planting?
fertilizer_advice,When to apply phosphorus for Arecanut?
pest_disease_help,Best pesticide practice for Sesamum
irrigation_advice,Irrigation schedule for Cardamom in Year Round season
pest_disease_help,How to treat fungal infection in Gram?
fertilizer_advice,How much nitrogen should I apply for Sweet_Potato?
recommend_crop,Suggest a crop for low nitrogen soils (N=75 kg/ha)
fertilizer_advice,How much nitrogen should I apply for Rice?
irrigation_advice,How often should I irrigate Groundnut?
planting_schedule,Optimal planting time for Ragi
recommend_crop,What crop should I grow if my soil pH is 6.5 and rainfall 250mm?
pest_disease_help,How to manage pests in Bajra fields?
pest_disease_help,How to treat fungal infection in Cardamom?
recommend_crop,Which crop suits my soil with pH 6.5 and rainfall 400mm?
irrigation_advice,How much water does Tomato need per week?
pest_disease_help,Symptoms of common diseases in Arecanut
pest_disease_help,How to manage pests in Potato fields?
irrigation_advice,How much water does Tomato need per week?
irrigation_advice,How much water does Cotton need per week?
irrigation_advice,Irrigation schedule for Jowar in Kharif season
planting_schedule,Planting and harvesting months for Maize
recommend_crop,Recommend a crop for pH 7.2 and temperature 18C
pest_disease_help,How to manage pests in Tobacco fields?
pest_disease_help,Symptoms of common diseases in Coffee
pest_disease_help,How to manage pests in Jute fields?
planting_schedule,Planting and harvesting months for Tea
planting_schedule,Optimal planting time for Fenugreek
irrigation_advice,How much water does Potato need per week?
fertilizer_advice,When to apply phosphorus for Black_Pepper?
fertilizer_advice,What fertilizer schedule is best for Green_Peas?
recommend_crop,What crop should I grow if my soil pH is 6.5 and rainfall 400mm?
planting_schedule,What is the planting month for Groundnut?
irrigation_advice,Best irrigation practice for Cauliflower
fertilizer_advice,How much nitrogen should I apply for Sesamum?
irrigation_advice,Best irrigation practice for Jwar
fertilizer_advice,Suggest fertilizer amounts for Maize
planting_schedule,What is the planting month for Ragi?
planting_schedule,When does Barley mature after planting?
pest_disease_help,Symptoms of common diseases in Maize
planting_schedule,Planting and harvesting months for Cassava
planting_schedule,Optimal planting time for Okra
recommend_crop,Recommend a crop for pH 6.0 and temperature 25C
planting_schedule,Planting and harvesting months for Bajra
irrigation_advice,Best irrigation practice for Ginger
planting_schedule,When should I plant Cauliflower in my region?
recommend_crop,Which crop suits my soil with pH 6.0 and rainfall 500mm?
fertilizer_advice,How much nitrogen should I apply for Sugarcane?
planting_schedule,What is the planting month for Bajra?
recommend_crop,Suggest a crop for low nitrogen soils (N=90 kg/ha)
fertilizer_advice,How much nitrogen should I apply for Rice?
planting_schedule,Optimal planting time for Tea
fertilizer_advice,How much nitrogen should I apply for Cassava?
pest_disease_help,Best pesticide practice for Cassava
fertilizer_advice,Suggest fertilizer amounts for Fenugreek
pest_disease_help,How to manage pests in Jwar fields?
pest_disease_help,My Coconut leaves are yellow — what could be wrong?
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 350mm?
irrigation_advice,How much water does Wheat need per week?
recommend_crop,Best crop for temperature 24C and humidity 70%
irrigation_advice,How often should I irrigate Sugarcane?
recommend_crop,Best crop for temperature 25C and humidity 65%
recommend_crop,Suggest a crop for low nitrogen soils (N=30 kg/ha)
pest_disease_help,Symptoms of common diseases in Okra
pest_disease_help,How to treat fungal infection in Wheat?
irrigation_advice,Best irrigation practice for Coffee
recommend_crop,Which crop suits my soil with pH 6.0 and rainfall 1500mm?
irrigation_advice,How much water does Groundnut need per week?
pest_disease_help,My Jute leaves are yellow — what could be wrong?
irrigation_advice,How much water does Groundnut need per week?
planting_schedule,When does Safflower mature after planting?
recommend_crop,What crop should I grow if my soil pH is 6.5 and rainfall 350mm?
recommend_crop,Which crop suits my soil with pH 6.5 and rainfall 250mm?
planting_schedule,When should I plant Turmeric in my region?
pest_disease_help,Best pesticide practice for Arecanut
pest_disease_help,How to treat fungal infection in Ginger?
recommend_crop,What crop should I grow if my soil pH is 6.5 and rainfall 350mm?
fertilizer_advice,Suggest fertilizer amounts for Cabbage
pest_disease_help,Best pesticide practice for Cassava
fertilizer_advice,"Fertilizer recommendation for Sugarcane given N=200, P=60, K=80"
pest_disease_help,How to manage pests in Onion fields?
irrigation_advice,Water requirement for Barley with rainfall 350mm
fertilizer_advice,What fertilizer schedule is best for Castor?
recommend_crop,What crop should I grow if my soil pH is 6.2 and rainfall 1000mm?
irrigation_advice,How often should I irrigate Linseed?
planting_schedule,Optimal planting time for Onion
irrigation_advice,How often should I irrigate Brinjal?
planting_schedule,Optimal planting time for Jwar
planting_schedule,Planting and harvesting months for Maize
irrigation_advice,How much water does Coconut need per week?
recommend_crop,Which crop suits my soil with pH 6.8 and rainfall 500mm?
pest_disease_help,How to manage pests in Jwar fields?
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 300mm?
pest_disease_help,How to treat fungal infection in Castor?
planting_schedule,Planting and harvesting months for Coriander
fertilizer_advice,Suggest fertilizer amounts for Maize
irrigation_advice,How often should I irrigate Coffee?
planting_schedule,When should I plant Wheat in my region?
recommend_crop,What crop should I grow if my soil pH is 6.2 and rainfall 1000mm?
pest_disease_help,My Ginger leaves are yellow — what could be wrong?
irrigation_advice,Water requirement for Cauliflower with rainfall 350mm
irrigation_advice,Water requirement for Rapeseed_Mustard with rainfall 300mm
fertilizer_advice,"Fertilizer recommendation for Oats given N=80, P=35, K=30"
pest_disease_help,Symptoms of common diseases in Cauliflower
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 350mm?
recommend_crop,What crop should I grow if my soil pH is 7.5 and rainfall 300mm?
fertilizer_advice,When to apply phosphorus for Cumin?
irrigation_advice,How much water does Castor need per week?
pest_disease_help,Best pesticide practice for Black_Pepper
pest_disease_help,How to manage pests in Tur_Arhar fields?
planting_schedule,When should I plant Brinjal in my region?
recommend_crop,Best crop for temperature 28C and humidity 80%
recommend_crop,Suggest a crop for low nitrogen soils (N=125 kg/ha)
pest_disease_help,My Cassava leaves are yellow — what could be wrong?
recommend_crop,Suggest a crop for low nitrogen soils (N=150 kg/ha)
planting_schedule,What is the planting month for Brinjal?
fertilizer_advice,"Fertilizer recommendation for Black_Pepper given N=150, P=45, K=120"
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 350mm?
pest_disease_help,Best pesticide practice for Barley
pest_disease_help,My Coffee leaves are yellow — what could be wrong?
pest_disease_help,How to manage pests in Jwar fields?
fertilizer_advice,How much nitrogen should I apply for Jwar?
planting_schedule,Optimal planting time for Turmeric
fertilizer_advice,Suggest fertilizer amounts for Gram
recommend_crop,Suggest a crop for low nitrogen soils (N=80 kg/ha)
recommend_crop,Best crop for temperature 30C and humidity 80%
fertilizer_advice,Suggest fertilizer amounts for Jwar
pest_disease_help,How to treat fungal infection in Niger?
planting_schedule,Optimal planting time for Niger
fertilizer_advice,How much nitrogen should I apply for Cotton?
pest_disease_help,How to treat fungal infection in Jute?
irrigation_advice,How much water does Castor need per week?
planting_schedule,Optimal planting time for Fenugreek
pest_disease_help,How to treat fungal infection in Potato?
fertilizer_advice,When to apply phosphorus for Cumin?
pest_disease_help,Symptoms of common diseases in Coconut
fertilizer_advice,Suggest fertilizer amounts for Fenugreek
irrigation_advice,Water requirement for Ragi with rainfall 500mm
fertilizer_advice,Suggest fertilizer amounts for Tur_Arhar
planting_schedule,When does Groundnut mature after planting?
recommend_crop,Suggest a crop for low nitrogen soils (N=60 kg/ha)
fertilizer_advice,What fertilizer schedule is best for Jwar?
fertilizer_advice,How much nitrogen should I apply for Ginger?
planting_schedule,Planting and harvesting months for Cardamom
recommend_crop,What crop should I grow if my soil pH is 6.5 and rainfall 500mm?
planting_schedule,Optimal planting time for Safflower
recommend_crop,Which crop suits my soil with pH 5.5 and rainfall 1200mm?
pest_disease_help,How to treat fungal infection in Gram?
irrigation_advice,Best irrigation practice for Turmeric
recommend_crop,What crop should I grow if my soil pH is 6.8 and rainfall 1000mm?
planting_schedule,When does Jwar mature after planting?
pest_disease_help,Symptoms of common diseases in Tea
irrigation_advice,Best irrigation practice for Coconut
irrigation_advice,Best irrigation practice for Onion
irrigation_advice,Best irrigation practice for Rapeseed_Mustard
fertilizer_advice,How much nitrogen should I apply for Sweet_Potato?
planting_schedule,When should I plant Fennel in my region?
fertilizer_advice,How much nitrogen should I apply for Carrot?
planting_schedule,Optimal planting time for Onion
recommend_crop,Recommend a crop for pH 6.5 and temperature 28C
planting_schedule,Optimal planting time for Onion
recommend_crop,Recommend a crop for pH 6.5 and temperature 20C
irrigation_advice,How much water does Potato need per week?
recommend_crop,What crop should I grow if my soil pH is 6.2 and rainfall 1100mm?
irrigation_advice,Irrigation schedule for Ginger in Kharif season
planting_schedule,Optimal planting time for Linseed
irrigation_advice,Water requirement for Turmeric with rainfall 1000mm
planting_schedule,When does Cardamom mature after planting?
planting_schedule,When should I plant Castor in my region?
planting_schedule,What is the planting month for Jute?
irrigation_advice,Best irrigation practice for Castor
planting_schedule,When should I plant Rapeseed_Mustard in my region?
recommend_crop,Suggest a crop for low nitrogen soils (N=115 kg/ha)
pest_disease_help,Symptoms of common diseases in Brinjal
fertilizer_advice,Suggest fertilizer amounts for Onion
pest_disease_help,How to treat fungal infection in Castor?
pest_disease_help,Best pesticide practice for Tobacco
planting_schedule,Optimal planting time for Cotton
pest_disease_help,How to manage pests in Ragi fields?
pest_disease_help,Best pesticide practice for Sesamum
irrigation_advice,Water requirement for Tobacco with rainfall 400mm
pest_disease_help,How to manage pests in Cumin fields?
pest_disease_help,Symptoms of common diseases in Wheat
pest_disease_help,How to manage pests in Ragi fields?
pest_disease_help,Symptoms of common diseases in Fennel
planting_schedule,When does Oats mature after planting?
pest_disease_help,Best pesticide practice for Jowar
irrigation_advice,How much water does Tur_Arhar need per week?
pest_disease_help,Symptoms of common diseases in Maize
pest_disease_help,Best pesticide practice for Potato
pest_disease_help,Symptoms of common diseases in Black_Pepper
recommend_crop,Recommend a crop for pH 7.0 and temperature 27C
fertilizer_advice,"Fertilizer recommendation for Green_Peas given N=60, P=75, K=60"
irrigation_advice,Best irrigation practice for Cauliflower
pest_disease_help,How to treat fungal infection in Brinjal?
irrigation_advice,Best irrigation practice for Cotton
pest_disease_help,Best pesticide practice for Bajra
planting_schedule,What is the planting month for Arecanut?
recommend_crop,Recommend a crop for pH 7.0 and temperature 18C
fertilizer_advice,"Fertilizer recommendation for Tur_Arhar given N=35, P=60, K=40"
irrigation_advice,How much water does Sunflower need per week?
recommend_crop,Best crop for temperature 30C and humidity 60%
irrigation_advice,How often should I irrigate Rice?
fertilizer_advice,What fertilizer schedule is best for Cauliflower?
planting_schedule,When does Cabbage mature after planting?
planting_schedule,Optimal planting time for Linseed
planting_schedule,What is the planting month for Fennel?
irrigation_advice,Best irrigation practice for Wheat
fertilizer_advice,How much nitrogen should I apply for Maize?
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 300mm?
planting_schedule,Planting and harvesting months for Fennel
planting_schedule,Planting and harvesting months for Groundnut
irrigation_advice,Irrigation schedule for Cotton in Kharif season
planting_schedule,When should I plant Brinjal in my region?
planting_schedule,When does Jwar mature after planting?
fertilizer_advice,When to apply phosphorus for Sunflower?
recommend_crop,Suggest a crop for low nitrogen soils (N=150 kg/ha)
pest_disease_help,My Carrot leaves are yellow — what could be wrong?
planting_schedule,When should I plant Wheat in my region?
recommend_crop,Which crop suits my soil with pH 6.8 and rainfall 400mm?
planting_schedule,When does Carrot mature after planting?
planting_schedule,When should I plant Rice in my region?
planting_schedule,What is the planting month for Sunflower?
irrigation_advice,Best irrigation practice for Sweet_Potato
pest_disease_help,How to treat fungal infection in Cotton?
fertilizer_advice,"Fertilizer recommendation for Turmeric given N=90, P=40, K=120"
fertilizer_advice,What fertilizer schedule is best for Onion?
fertilizer_advice,What fertilizer schedule is best for Black_Pepper?
irrigation_advice,Irrigation schedule for Ragi in Kharif season
fertilizer_advice,"Fertilizer recommendation for Jwar given N=100, P=40, K=40"
fertilizer_advice,How much nitrogen should I apply for Rice?
planting_schedule,When does Oats mature after planting?
fertilizer_advice,When to apply phosphorus for Jowar?
pest_disease_help,Best pesticide practice for Jowar
irrigation_advice,Water requirement for Tea with rainfall 1200mm
irrigation_advice,How often should I irrigate Rice?
planting_schedule,When should I plant Rice in my region?
fertilizer_advice,When to apply phosphorus for Wheat?
planting_schedule,Optimal planting time for Cabbage
irrigation_advice,Irrigation schedule for Rice in Kharif season
irrigation_advice,Best irrigation practice for Jwar
planting_schedule,When should I plant Green_Peas in my region?
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 600mm?
fertilizer_advice,"Fertilizer recommendation for Safflower given N=80, P=45, K=45"
fertilizer_advice,When to apply phosphorus for Tea?
fertilizer_advice,Suggest fertilizer amounts for Cardamom
fertilizer_advice,"Fertilizer recommendation for Sunflower given N=80, P=60, K=60"
fertilizer_advice,"Fertilizer recommendation for Fennel given N=90, P=45, K=60"
recommend_crop,Best crop for temperature 18C and humidity 60%
planting_schedule,When does Cauliflower mature after planting?
irrigation_advice,Irrigation schedule for Wheat in Rabi season
planting_schedule,Optimal planting time for Safflower
irrigation_advice,Water requirement for Onion with rainfall 350mm
irrigation_advice,Irrigation schedule for Ginger in Kharif season
recommend_crop,Suggest a crop for low nitrogen soils (N=45 kg/ha)
fertilizer_advice,What fertilizer schedule is best for Cassava?
recommend_crop,What crop should I grow if my soil pH is 7.0 and rainfall 250mm?
irrigation_advice,Water requirement for Cabbage with rainfall 400mm
fertilizer_advice,When to apply phosphorus for Linseed?
planting_schedule,Optimal planting time for Sesamum
recommend_crop,Suggest a crop for low nitrogen soils (N=150 kg/ha)
irrigation_advice,Irrigation schedule for Cauliflower in Rabi season
fertilizer_advice,"Fertilizer recommendation for Coriander given N=60, P=30, K=60"
pest_disease_help,Best pesticide practice for Arecanut
irrigation_advice,Irrigation schedule for Coconut in Year Round season
fertilizer_advice,"Fertilizer recommendation for Okra given N=100, P=60, K=90"
planting_schedule,What is the planting month for Tomato?
irrigation_advice,Irrigation schedule for Sunflower in Rabi season
fertilizer_advice,"Fertilizer recommendation for Cardamom given N=120, P=40, K=90"
irrigation_advice,Best irrigation practice for Tomato
planting_schedule,What is the planting month for Jowar?
planting_schedule,When should I plant Carrot in my region?
planting_schedule,When should I plant Tobacco in my region?
planting_schedule,Optimal planting time for Tur_Arhar
recommend_crop,Best crop for temperature 30C and humidity 60%
pest_disease_help,How to manage pests in Tomato fields?
recommend_crop,What crop should I grow if my soil pH is 6.8 and rainfall 1000mm?
pest_disease_help,Best pesticide practice for Coriander
irrigation_advice,Irrigation schedule for Jowar in Kharif season
fertilizer_advice,How much nitrogen should I apply for Cardamom?
